WIC Job Location Snapshot ID,Job Title,Original Job Title,NOC 2016 Code,NOC 2016 Code Name,NOC21 Code,NOC21 Code Name,External Indicator,First Posting Date,Vacancy Count,Education LOS,Experience Level,Government Type,Placement Agency,NAICS,Province/Territory,City,Work Location Postal Code,Economic  Region,Various Location,Employment Type,Employment Term,Employment Term Start Date,Employment Term End Date,Employment Term Oncall,Employment Term Overtime,Employment Term Day,Employment Term Evening,Employment Term Shift,Employment Term Weekend,Employment Term Night,Employment Term Telework,Employment Term Early,Employment Term Flex,Employment Term Morning,Employment Term TBD,Salary Condition Detail,Salary Per,Salary Minimum,Salary Maximum,Salary Condition Collective,Salary Condition Bonus,Salary Condition Disability,Salary Condition Gratuity,Salary Condition Medical,Salary Condition Mileage,Salary Condition Piecework,Salary Condition Commission,Salary Condition RESP,Salary Condition Dental,Salary Condition Group Insurance,Salary Condition Life Insurance,Salary Condition Pension,Salary Condition RRSP,Condition Vision Care,Salary Condition Other Benefits,Commission PER,Commission Type,Hours Per,Hours Minimum,Hours Maximum,Work Hours,Work Hours From Time,Work Hours To Time,Normalized Salary
14645016,data analyst - informatics and systems,Operations Data Analyst,2172.0,Database analysts and data administrators,21223.0,Database analysts and data administrators,1,5/30/2025,1,,,,,,British Columbia,Burnaby,,Lower Mainland–Southwest Region,No,Full time,Term or contract,,,,,,,,,,,,,,,"$3,340.08 biweekly",Bi-weekly,3340.08,3340.08,,,,,,,,,,,,,,,,,,,,,,No,,,0.03320415372486763
14616747,data analyst - informatics and systems,Data Analyst,2172.0,Database analysts and data administrators,21223.0,Database analysts and data administrators,1,5/23/2025,1,,,,,,British Columbia,Richmond,,Lower Mainland–Southwest Region,No,Full time,Term or contract,,,,,,,,,,,,,,,$47.12 hourly,Hour,47.12,47.12,,,,,,,,,,,,,,,,,,,,,,No,,,0.0002678544816015577
14612608,data analyst - informatics and systems,,2172.0,Database analysts and data administrators,21223.0,Database analysts and data administrators,0,5/22/2025,1,Bachelor's degree,2 years to less than 3 years,Not a government entity,No,Information and cultural industries,Ontario,Mississauga,L4W4X7,Toronto Region,No,Full time,Permanent employment,,,No,No,Yes,No,No,No,No,No,No,No,No,No,$43.96 hourly,Hour,43.96,43.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Week,37.5,37.5,No,,,0.00023624805285395048
14648588,artificial intelligence (AI) consultant,Senior AI ML Engineer,2171.0,Information systems analysts and consultants,21211.0,Data scientists,1,5/31/2025,1,,,,,,Ontario,Toronto,,Toronto Region,No,Full time,Permanent employment,,,,,,,,,,,,,,,$26.00 to $78.00 hourly,Hour,26.0,78.0,,,,,,,,,,,,,,,,,,,,,,No,,,5.661151478210668e-05
14620894,big data analyst,Hiring for a Data Analyst!!,2172.0,Database analysts and data administrators,21211.0,Data scientists,1,5/24/2025,1,,,,,,Ontario,Toronto,,Toronto Region,No,Full time,,,,,,,,,,,,,,,,"$100,000.00 to $120,000.00 annually",Year,100000.0,120000.0,,,,,,,,,,,,,,,,,,,,,,No,,,1.0
14607241,HR Data Analyst,,,,,,1,5/21/2025,1,,,,,,Ontario,Ottawa,,Ottawa Region,No,,,,,,,,,,,,,,,,,"$77,436.00 annually",Year,77436.0,77436.0,,,,,,,,,,,,,,,,,,,,,,No,,,0.774314095487022
14588526,data analyst - informatics and systems,Data Engineer,2172.0,Database analysts and data administrators,21223.0,Database analysts and data administrators,1,5/14/2025,1,,,,,,Ontario,Toronto,,Toronto Region,No,Part time,,,,,,,,,,,,,,,,$48.77 hourly,Hour,48.77,48.77,,,,,,,,,,,,,,,,,,,,,,No,,,0.0002843578383843274
14631565,data analyst - informatics and systems,BI Developer,2172.0,Database analysts and data administrators,21223.0,Database analysts and data administrators,1,5/27/2025,1,,,,,,Ontario,Toronto,,Toronto Region,No,Full time,Permanent employment,,,,,,,,,,,,,,,$24.00 to $58.00 hourly,Hour,24.0,58.0,,,,,,,,,,,,,,,,,,,,,,No,,,3.6607445954507145e-05
14573778,artificial intelligence (ai) programmer,,2174.0,Computer programmers and interactive media developers,21232.0,Software developers and programmers,0,5/9/2025,3,Bachelor's degree,1 year to less than 2 years,Not a government entity,No,"Professional, scientific and technical services",Alberta,,,,No,Part time leading to full time,Term or contract,,,No,No,No,No,No,No,No,No,No,Yes,No,No,$25.00 to $49.00 hourly (to be negotiated),Hour,25.0,49.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Week,10.0,25.0,No,,,4.6609480368306914e-05
14569847,data analyst - informatics and systems,Data Analyst   Modeler,2172.0,Database analysts and data administrators,21223.0,Database analysts and data administrators,1,5/9/2025,1,,,,,,Ontario,Toronto,,Toronto Region,No,Full time,Permanent employment,,,,,,,,,,,,,,,$24.00 to $58.00 hourly,Hour,24.0,58.0,,,,,,,,,,,,,,,,,,,,,,No,,,3.6607445954507145e-05
